Job Title,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Role
" QA - Associate , - Business - Operations - DM",3 - 5 yrs, QA| Data management| GDB| Fixed income| Data quality| HTTP| Operations| Python,Programming & Design,"IT Software - Application Programming , Maintenance","Advertising, PR, MR, Event Management",Software Developer
 Staff Nurse,2 - 5 yrs, Nursing| NICU| Medical | patient care| Nurse,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing",Nurse
 Back Office Executive|data Entry Operators|domestic BPO,0 - 3 yrs, back office processing| BPO| part time| data entry| computer operator| backend| non voice| chat process| account| marketing| inbound process,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Fresher
 Sr Equity Advisor - 5 nos,6 - 11 yrs, shares| market research| communication skills,Investment Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Equity Manager
 Data Scientist - Sql/nosql,2 - 6 yrs, SQL| NoSQL| R| Python| Scala| Data Visualization| Machine Learning| Data Science| Data Modeling| Algorithm,Analytics & BI,Analytics & Business Intelligence,"IT-Software, Software Services",Data Analyst
 Hiring For Day Shift Non Voice Sal. Up To 24K,0 - 4 yrs, international bpo| IT Helpdesk| freshers| customer care| international voice| call center| customer support| technical helpdesk| service desk| bpo fresher| uk| us| communication skills,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 React.js Developer,1 - 3 yrs, jQuery| MySQL| Struts| Javascript| Database| JSF,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Requirement in Private bank for BDE,0 - 2 yrs, Business Development| Sales| Bde| New Business| Business Analyst| Business Development Manager| Business Development Executive| Senior Business Analyst| Sales Manager| Banker| Private Banker| Sales Officer,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Accounts Executive/Accountant
 Physics- TGT,2 - 5 yrs, Counselor| Mentor| Trainer| Advisor| Teaching,Subject Teachers (TGT/PGT),"Teaching , Education , Training , Counselling","Education, Teaching, Training",Physics Teacher
 Technical Sales Executive -mumbai,2 - 7 yrs, sales engineer| Technical Sales| Sales Executive Activities,,Other,"Construction, Engineering, Cement, Metals",Other
 Urgent Opening - Hp-ux Administrator,3 - 8 yrs, Unix,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Administrator
 Support Executive,1 - 3 yrs, Interpersonal skills| Direct marketing| IT hardware| Management| Support Executive,Sales Support,"Sales , Retail , Business Development","IT-Software, Software Services",Telesales/Telemarketing Executive/Officer
 J. Stores - Manager,2 - 4 yrs, Analytical skills| Technical| Educational qualification| Stores| Management| Forecasting| Electricals| Inventory| Cables| Organization skills,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Oil and Gas, Energy, Power, Infrastructure",Training Manager
 Product Manager,5 - 7 yrs, product management| product pricing| sales| market research| user experience| marketting| asm| tsm| sales manager,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Banking, Financial Services, Broking",Product/Brand Manager
 Draughtsman,5 - 10 yrs, AutoCAD| Costing| Draughtsman| Civil| 3D,Architectural Services,"Architecture , Interior Design","Recruitment, Staffing",Draughtsman
 Senior Java Tech Lead - Spring Boot/ Data Structure,5 - 10 yrs, Java| SOA| TDD| SaaS| J2EE| Spring Boot| API| Algorithm| Data Structure,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Team Lead/Technical Lead
 BCOM (hiring for Top4) Internal Audit /compliance Call Vikas,2 - 7 yrs, Mba Finance| Auditing| Internal Audit| SOX| Audit Compliance| Compliance,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance",Accounts Executive/Accountant
 ETL Datastage Developer,10 - 15 yrs, Technical Management| Agile Methodology| Unit Testing| Design Development| Business Analytics| Big Data| SQL Queries| Spark| Performance Tuning| Test Case Design,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 Technical Lead,6 - 11 yrs, CSS| Html5| MySQL| Javascript| Bootstrap| JSON| Node.Js| JQuery| Core PHP| Ajax,Programming & Design,IT Software - System Programming,"IT-Software, Software Services",Team Lead/Technical Lead
 Specialist - DV,4 - 8 yrs, Javascript| SQL| Python| design studio| Strategy consulting| Front end| big data analytics| QlikView| MATLAB,Programming & Design,"IT Software - Application Programming , Maintenance","Accounting, Finance",Software Developer
" Office Assistant, Office Boy",0 - 2 yrs, Tea| Coffee| Office Assistance| admin| office assistant| computer operator,,Other,"Courier, Transportation, Freight , Warehousing",Other
 MES camster/apriso/hydra engineer,2 - 6 yrs, Oracle database| server| VB.NET| technical| tools| sql| Sql Server 2008| database| design| MS.net| Application development| Test cases| net| deployment| Automation| development| c| oracle| testing| specification| vb| quality| application| PLSQL| pl| support| WIP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 HR PMO Professional,6 - 9 yrs, Change management| Excel| Customer satisfaction| Project management| Relationship building| HR policies| HR| Scheduling| Visio| Stakeholder management,Project Management,IT Software - Other,"IT-Software, Software Services",Project Manager-IT/Software
 Principal Consultant,0 - 4 yrs, Business solutions| Project delivery| Conceptualization| Green field projects| Gap analysis| PDF| Regulatory compliance| account mining| Delivery Lead| Oracle Retail,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Functional Outside Consultant
 Urgent Requirment For Central Processing Center- Mumbai,1 - 6 yrs, Accounting Entries| Debit| Communication Skills| Finance| Document Verification| Banking| Problem Solving| Open Office| Dispute Management,,Other,"Banking, Financial Services, Broking",Other
 Cognos TM1 Developer (4 6 years),6 - 11 yrs, Sql Server 2008| Cognos| MVC| SIDE| server| java| asp.net| Javascript| Problem| developer| ASP.Net MVC| sql,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Smart Web Developer,1 - 5 yrs, JAVA| Java| Business Analysts| development| Architects| HTML| Lead Developers| SQL| XML| design| PHP| ios development| PL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Manager- Compensation and Benefits,10 - 15 yrs,vide,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Media, Entertainment, Internet",Pay Roll/Compensation Manager
 Civil Architect,5 - 10 yrs, Architect| Engineering Design| EPC| Civil,Architectural Services,"Architecture , Interior Design","Strategy, Management Consulting Firms",Architect
 Reconciliation Executive,0 - 2 yrs, access controls| Technology| Asset Management| Intellectual Property| Vendor Management| CRM,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Oracle Sales Cloud Developer,3 - 8 yrs, oracle sales,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Opening For Sales and Marketing_nariman Point ,2 - 7 yrs, Sales| Marketing,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Area Sales Manager
 Finance & OPS - Technical Consultant (dynamics Ax/365) @ Bangalore,2 - 7 yrs, microsoft dynamics ax| strategy implementation| proposal development| business development| resource planning| cost management| enterprise applications| data integrity| microsoft applications| process design| technical consultant,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant
 Business Development Manager-digital / Export,5 - 8 yrs, digital marketing| international sales| international marketing| international business development| business development| Export Marketing,Institutional Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
 Sr. Software Engineer,4 - 9 yrs, Unix| PDF| Deployment| Informatica| Oracle| Teradata| Troubleshooting| Data warehousing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Website Designer,0 - 2 yrs, jQuery| Analytical| Wordpress| Conceptualization| Web designing| Photoshop| Business Executive| CSS3| Ideas,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer
 Tech caller hiring a huge number of Executives.,2 - 5 yrs, Outbound| Night shift| Recruitment| iPhone| Email| US shift| Troubleshooting| Technical support| Comp| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
